Region Name,Quarter,Year,Fixed State F&O,Reports per 100K-F&O together,State Pop,State Total Reports Quarter
Papua,2,2018,11076,180.4664755,6137428,11076
Papua,4,2018,10056,163.847136,6137428,10056
Yogyakarta,1,2018,2000,205.3885746,973764,2000
Bali,1,2022,1304,178.2528758,731545,1304
North Sumatra,1,2022,2866,160.3746926,1787065,2866
West Sulawesi,3,2019,20803,198.3489072,10488084,20803
Java,1,2022,851,147.0387502,578759,851
Java,2,2019,813,140.4729775,578759,813
Central Papua,1,2019,1385,130.7391909,1059361,1385
Central Papua,3,2018,3934,187.6166345,2096829,3934
East Nusa Tenggara,2,2019,16349,184.064966,8882190,16349
North Sulawesi,1,2018,3443,109.1259465,3155070,3443
Yogyakarta,4,2020,2971,305.1047276,973764,2971
Riau Islands,3,2019,15907,159.2793408,9986857,15907
Central Papua,2,2018,3650,174.0723731,2096829,3650
Central Sulawesi,2,2018,4481,153.8110894,2913314,4481
Bali,4,2018,835,114.1419872,731545,835
South West Java,2,2020,6401,161.7651481,3956971,6401
Central Java,1,2018,64431,163.0659961,39512223,64431
South West Java,3,2020,7074,178.773107,3956971,7074
North Maluku,3,2021,7614,255.8339653,2976149,7614
West Papua,2,2018,841,95.06487811,884659,841
East Nusa Tenggara,3,2018,14719,165.7136359,8882190,14719
South Sulawesi,2,2020,9484,307.9064827,3080156,9484
Central Sumatra,1,2020,7018,166.3925465,4217737,7018
South West Java,1,2022,5864,148.1941616,3956971,5864
West Kalimantan,1,2020,1604,150.0779395,1068778,1604
Jakarta,1,2020,52852,246.0780668,21477737,52852
East Papua,2,2019,10049,195.1749505,5148714,10049
West Sumatra,1,2019,8366,143.6856133,5822434,8366
Sumatra,1,2019,42797,147.5968259,28995881,42797
Papua,3,2019,12453,202.9025839,6137428,12453
West Kalimantan,4,2021,1822,170.4750659,1068778,1822
Jakarta,2,2018,59081,275.0801912,21477737,59081
South Sulawesi,4,2018,6168,200.2495977,3080156,6168
West Java,1,2021,9418,264.1582571,3565287,9418
East Kalimantan,2,2019,7045,157.6883536,4467673,7045
Aceh,1,2018,8888,181.2699296,4903185,8888
East Kalimantan,1,2022,7485,167.5368811,4467673,7485
District of Columbia,2,2021,3035,430.039575,705749,3035
Central Java,2,2018,68491,173.3412975,39512223,68491
Riau Islands,4,2018,15163,151.8295496,9986857,15163
East Papua,2,2021,15849,307.8244393,5148714,15849
West Nusa Tenggara,1,2022,2363,173.7869297,1359711,2363
Papua,3,2019,12453,202.9025839,6137428,12453
Puerto Rico,2,2019,1152,36.07108258,3193694,1152
North Sumatra,4,2018,2321,129.8777605,1787065,2321
Puerto Rico,3,2021,1925,60.27502948,3193694,1925
East Nusa Tenggara,1,2022,20097,226.2617665,8882190,20097
Central Java,3,2021,40852,319.1066638,12801989,40852
Aceh,2,2020,10855,221.3867109,4903185,10855
Maluku,1,2020,12332,161.945808,7614893,12332
Central Java,3,2019,71475,180.8933909,39512223,71475
Papua,4,2018,10056,163.847136,6137428,10056
West Java,3,2019,6249,175.2734072,3565287,6249
East Nusa Tenggara,4,2018,14455,162.741396,8882190,14455
Java,1,2019,4149,129.4152949,3205958,4149
West Java,1,2018,5337,149.6934188,3565287,5337
Central Java,1,2020,22475,175.5586573,12801989,22475
East Papua,2,2020,11468,222.7352306,5148714,11468
West Papua,3,2021,41812,393.8055402,10617423,41812
Central Java,1,2021,45333,354.1090373,12801989,45333
West Kalimantan,1,2020,1604,150.0779395,1068778,1604
Gorontalo,4,2019,7924,140.5056216,5639632,7924
West Papua,1,2021,39969,376.4472792,10617423,39969
District of Columbia,3,2019,2336,330.995864,705749,2336
Sulawesi,4,2021,20058,234.9944977,8535519,20058
East Kalimantan,3,2020,8415,188.3530867,4467673,8415
Bangka Belitung,4,2020,17938,296.7077318,6045680,17938
Central Sumatra,4,2020,10077,238.9195912,4217737,10077
West Sumatra,3,2019,9499,163.1448291,5822434,9499
Central Sulawesi,4,2018,4054,139.1542415,2913314,4054
Aceh,4,2021,11887,242.4342545,4903185,11887
Central Papua,4,2020,4450,212.225222,2096829,4450
District of Columbia,3,2021,3294,466.7381746,705749,3294
North Maluku,1,2022,4998,167.9351403,2976149,4998
Central Papua,2,2019,1590,150.0904791,1059361,1590
Maluku,2,2020,18941,248.7362593,7614893,18941
Aceh,4,2021,11887,242.4342545,4903185,11887
East Java,3,2021,16392,284.6457973,5758736,16392
Gorontalo,2,2018,7517,133.2888387,5639632,7517
Java,2,2021,6880,214.6004408,3205958,6880
West Nusa Tenggara,3,2020,2799,205.8525672,1359711,2799
Bangka Belitung,4,2021,17419,288.1230895,6045680,0
Sumatra,3,2021,81525,281.1606242,28995881,81525
West Sumatra,3,2019,10025,148.9107826,6732219,10025
North Maluku,1,2018,4339,145.7924318,2976149,4339
Central Kalimantan,3,2019,2825,146.0395118,1934408,2825
Gorontalo,4,2018,7273,128.9623153,5639632,7273
South Sulawesi,4,2020,9672,314.0100696,3080156,9672
South West Java,4,2020,6794,171.6969874,3956971,6794
West Papua,2,2021,39779,374.6577677,10617423,39779
Sumatra,2,2019,51744,178.4529327,28995881,51744
West Nusa Tenggara,3,2021,3025,222.4737463,1359711,3025
Central Java,4,2019,19706,153.9292058,12801989,19706
East Kalimantan,4,2020,8235,184.3241437,4467673,8235
Central Sulawesi,3,2020,5352,183.7083129,2913314,5352
East Kalimantan,4,2021,7507,168.0293074,4467673,7507
North Maluku,1,2020,4045,135.9138941,2976149,4045
Riau,2,2018,31185,160.3048408,19453561,31185
Puerto Rico,1,2018,709,22.19999787,3193694,709
South Sumatra,4,2021,25971,204.9508117,12671821,25971
West Sumatra,1,2020,8552,146.8801536,5822434,8552
West Kalimantan,3,2019,2846,158.8039374,1792147,2846
Central Papua,1,2018,1538,145.1818596,1059361,1538
Sulawesi,4,2021,20058,234.9944977,8535519,20058
District of Columbia,4,2020,2740,388.2400117,705749,2740
Central Sumatra,2,2019,9025,213.9773058,4217737,9025
Riau,3,2020,49583,254.8787854,19453561,49583
West Sumatra,2,2019,10312,153.1738644,6732219,10312
Yogyakarta,4,2021,2986,306.6451419,973764,2986
Java,2,2020,953,164.6626662,578759,953
South West Java,2,2019,5626,142.17946,3956971,5626
West Java,4,2018,5256,147.4215119,3565287,5256
Central Java,2,2021,38158,298.0630588,12801989,38158
District of Columbia,2,2021,3035,430.039575,705749,3035
West Sumatra,3,2021,12144,208.572566,5822434,12144
Maluku,4,2021,2436,172.0494508,1415872,2436
West Kalimantan,1,2019,1291,120.792157,1068778,1291
Bali,3,2021,21977,321.8105147,6829174,21977
Riau,1,2018,29975,154.0848999,19453561,29975
Central Sumatra,4,2018,6267,148.5867896,4217737,6267
East Nusa Tenggara,2,2018,15068,169.6428471,8882190,15068
East Nusa Tenggara,1,2020,15413,173.5270243,8882190,0
West Papua,1,2019,21230,199.954358,10617423,21230
West Sumatra,1,2019,9408,139.7458995,6732219,9408
Jakarta,1,2021,83196,387.3592455,21477737,83196
Maluku,3,2021,3296,232.7894047,1415872,3296
Sulawesi,3,2018,15348,179.8133189,8535519,15348
South Sulawesi,4,2020,9672,314.0100696,3080156,9672
Central Java,4,2021,83028,210.1324443,39512223,83028
West Papua,4,2021,32438,305.5166965,10617423,32438
South Sulawesi,3,2020,10410,337.969895,3080156,10410
West Papua,1,2018,772,87.26526266,884659,772
Southeast Sulawesi,4,2018,737,96.71129121,762062,737
North Sumatra,4,2020,3271,183.0375504,1787065,3271
West Java,2,2019,6274,175.974613,3565287,6274
North Sulawesi,1,2022,3919,124.212775,3155070,3919
North Kalimantan,4,2021,13142,190.6709362,6892503,13142
Maluku,2,2020,2740,193.5203182,1415872,2740
Java,2,2019,813,140.4729775,578759,813
West Kalimantan,4,2020,1981,185.3518691,1068778,1981
Gorontalo,4,2019,7924,140.5056216,5639632,7924
Southeast Sulawesi,3,2018,640,83.98266808,762062,640
North Sumatra,1,2022,2866,160.3746926,1787065,2866
South Kalimantan,1,2022,9836,211.5817565,4648794,9836
Central Kalimantan,2,2018,2314,119.6231612,1934408,2314
Java,1,2019,4149,129.4152949,3205958,4149
Aceh,2,2020,10855,221.3867109,4903185,10855
Banten,3,2018,14520,199.4857061,7278717,14520
West Kalimantan,1,2020,2646,147.6441386,1792147,2646
Yogyakarta,1,2018,2000,205.3885746,973764,2000
Puerto Rico,3,2020,1702,53.29251957,3193694,1702
Puerto Rico,2,2020,1587,49.69167365,3193694,1587
North Kalimantan,3,2020,15198,220.5004481,6892503,15198
East Nusa Tenggara,4,2018,14455,162.741396,8882190,14455
Bali,3,2018,856,117.012624,731545,856
West Sumatra,2,2021,15115,224.5173545,6732219,0
South West Java,1,2018,5201,131.4389213,3956971,5201
Sumatra,3,2018,56558,195.0552908,28995881,56558
Bali,1,2020,12699,185.9522103,6829174,12699
Sumatra,3,2020,72655,250.5700723,28995881,72655
Yogyakarta,1,2022,3010,309.1098048,973764,3010
Central Java,2,2021,38158,298.0630588,12801989,38158
Central Java,1,2020,64095,162.2156263,39512223,64095
Sulawesi,1,2021,28022,328.2987244,8535519,28022
South Kalimantan,1,2020,6849,147.3285329,4648794,6849
Central Papua,1,2020,1592,150.2792721,1059361,1592
East Nusa Tenggara,2,2019,16349,184.064966,8882190,16349
North Sulawesi,4,2019,3662,116.0671554,3155070,3662
East Kalimantan,2,2018,6531,146.183483,4467673,6531
Yogyakarta,4,2020,2971,305.1047276,973764,2971
Maluku,1,2020,2009,141.8913574,1415872,2009
West Sumatra,4,2019,8762,130.1502521,6732219,8762
West Papua,1,2018,24945,234.9440161,10617423,24945
East Kalimantan,4,2018,6077,136.0215933,4467673,6077
Central Sumatra,1,2019,6599,156.4583093,4217737,6599
Banten,1,2019,11875,163.1468843,7278717,11875
West Sumatra,1,2022,9377,161.0494855,5822434,9377
Bengkulu,2,2021,6472,214.4605813,3017804,6472
District of Columbia,4,2019,1782,252.497701,705749,1782
East Kalimantan,4,2020,8235,184.3241437,4467673,8235
South Sumatra,1,2021,42765,337.4810929,12671821,42765
Jakarta,3,2021,78078,363.5299194,21477737,78078
North Kalimantan,1,2021,21023,305.0125622,6892503,21023
West Sulawesi,4,2019,17465,166.5223124,10488084,17465
South Sulawesi,3,2020,10410,337.969895,3080156,10410
West Java,2,2018,5776,162.006593,3565287,5776
North Kalimantan,2,2021,17964,260.6310073,6892503,17964
East Kalimantan,3,2021,9049,202.5439194,4467673,9049
West Kalimantan,4,2018,2567,143.236018,1792147,2567
Jakarta,2,2018,59081,275.0801912,21477737,59081
South Sulawesi,4,2018,6168,200.2495977,3080156,6168
West Sumatra,2,2018,9613,142.7909579,6732219,9613
East Papua,2,2021,15849,307.8244393,5148714,15849
Sumatra,2,2021,86304,297.6422755,28995881,86304
Banten,1,2020,12745,175.0995402,7278717,12745
South Sumatra,2,2018,19834,156.520519,12671821,19834
Maluku,2,2021,20561,270.01036,7614893,20561
West Papua,2,2020,1074,121.40271,884659,1074
North Maluku,3,2018,4154,139.5763451,2976149,4154
West Java,2,2021,8741,245.1696035,3565287,8741
North Kalimantan,3,2018,9666,140.2393296,6892503,9666
Riau,4,2021,43343,222.8023959,19453561,43343
Jakarta,1,2019,44731,208.2668207,21477737,44731
Sumatra,4,2018,46567,160.5986726,28995881,46567
North Maluku,4,2019,3841,129.0593986,2976149,3841
West Nusa Tenggara,3,2021,3025,222.4737463,1359711,3025
West Papua,4,2019,21002,197.8069443,10617423,21002
Java,3,2018,4298,134.0628917,3205958,4298
West Sulawesi,3,2020,25738,245.4023061,10488084,25738
Gorontalo,3,2019,8899,157.7939837,5639632,8899
District of Columbia,3,2019,2336,330.995864,705749,2336
Maluku,2,2021,3140,221.7714596,1415872,3140
Riau,2,2019,39284,201.9373214,19453561,39284
Sulawesi,4,2020,22348,261.8235634,8535519,22348
East Nusa Tenggara,1,2022,20097,226.2617665,8882190,20097
East Nusa Tenggara,3,2019,17556,197.653957,8882190,17556
Java,3,2021,1067,184.359984,578759,1067
West Java,1,2022,7002,196.3937265,3565287,7002
Gorontalo,3,2021,11347,201.2010713,5639632,11347
Central Papua,4,2019,2985,142.3578174,2096829,2985
Bangka Belitung,4,2021,17419,288.1230895,6045680,17419
Sumatra,3,2018,56558,195.0552908,28995881,56558
East Papua,1,2018,9183,178.3552165,5148714,9183
Banten,4,2020,17855,245.3042205,7278717,17855
East Kalimantan,2,2019,7045,157.6883536,4467673,7045
Sumatra,3,2019,53177,183.3950139,28995881,53177
South East Java,2,2020,24379,208.5618226,11689100,24379
District of Columbia,1,2022,2537,359.4762444,705749,2537
West Kalimantan,1,2018,2346,130.9044403,1792147,2346
Sulawesi,1,2018,14760,172.9244584,8535519,14760
Central Java,2,2018,68491,173.3412975,39512223,68491
Yogyakarta,4,2018,2048,210.3179004,973764,2048
Maluku,3,2020,18563,243.7723025,7614893,18563
Bali,1,2022,13878,203.2163773,6829174,13878
West Sulawesi,4,2018,17600,167.8094874,10488084,17600
Lampung,2,2021,3089,229.8000613,1344212,3089
Yogyakarta,1,2019,1900,195.1191459,973764,1900
Riau Islands,2,2021,23109,231.3941213,9986857,23109
North Kalimantan,1,2018,9178,133.1591731,6892503,9178
South West Java,4,2020,6794,171.6969874,3956971,6794
Central Java,1,2021,107438,271.9107958,39512223,107438
West Papua,3,2018,25037,235.8105164,10617423,25037
West Kalimantan,1,2022,1632,152.6977539,1068778,1632
Central Papua,2,2018,3650,174.0723731,2096829,3650
West Sumatra,2,2019,9564,164.2612007,5822434,9564
Riau Islands,1,2021,26451,264.858103,9986857,26451
Bali,4,2019,989,135.1933237,731545,989
East Java,4,2018,9927,172.3815782,5758736,9927
Bengkulu,2,2020,7962,263.8342318,3017804,7962
Central Java,1,2022,81300,205.7591141,39512223,81300
Lampung,1,2021,3520,261.8634561,1344212,3520
Riau Islands,2,2018,21019,210.4666163,9986857,21019
South Sumatra,3,2021,36057,284.5447391,12671821,36057
North Sulawesi,3,2021,4995,158.3166142,3155070,4995
Maluku,2,2020,2740,193.5203182,1415872,2740
Gorontalo,1,2020,8431,149.4955699,5639632,8431
North Maluku,2,2018,4223,141.8947774,2976149,4223
Bengkulu,1,2020,4943,163.7946003,3017804,4943
West Nusa Tenggara,3,2021,3025,222.4737463,1359711,3025
South Kalimantan,3,2021,15421,331.7204419,4648794,15421
West Papua,4,2018,838,94.72576439,884659,838
Southeast Sulawesi,3,2018,640,83.98266808,762062,640
South West Java,1,2022,5864,148.1941616,3956971,5864
Riau Islands,2,2019,17336,173.5881469,9986857,17336
North Sumatra,4,2021,2933,164.1238567,1787065,2933
West Kalimantan,3,2021,3665,204.5033136,1792147,3665
Bangka Belitung,4,2018,10914,180.5255984,6045680,10914
Maluku,2,2019,2146,151.5673733,1415872,2146
Sulawesi,2,2018,15092,176.8140871,8535519,15092
South Sumatra,1,2019,19138,151.0280172,12671821,19138
West Sumatra,3,2020,12587,186.9665856,6732219,12587
North Maluku,4,2021,5522,185.5417857,2976149,5522
North Sulawesi,3,2019,4560,144.5292814,3155070,4560
East Nusa Tenggara,1,2018,14652,164.9593175,8882190,14652
Bali,1,2020,12699,185.9522103,6829174,12699
Central Java,1,2019,59408,150.3534742,39512223,59408
Borneo,2,2020,1189,190.5482308,623989,1189
Bali,1,2018,12037,176.2585051,6829174,12037
South Kalimantan,4,2019,6215,133.6905873,4648794,6215
Papua,3,2019,12453,202.9025839,6137428,12453
South Kalimantan,2,2020,9184,197.5566136,4648794,9184
Bali,2,2021,21974,321.7665855,6829174,21974
Borneo,1,2021,1684,269.8765523,623989,1684
South Sulawesi,2,2020,9484,307.9064827,3080156,9484
South Kalimantan,2,2020,9184,197.5566136,4648794,9184
Aceh,1,2022,11115,226.6893866,4903185,11115
West Sumatra,2,2020,10398,178.5851072,5822434,10398
Bengkulu,1,2018,3867,128.1395346,3017804,3867
West Java,1,2022,7002,196.3937265,3565287,7002
Java,3,2019,832,143.7558638,578759,832
District of Columbia,3,2020,2804,397.3083915,705749,2804
Bali,3,2019,13530,198.1205926,6829174,13530
West Sumatra,3,2018,9636,143.1325986,6732219,9636
East Kalimantan,2,2020,8144,182.2872892,4467673,8144
Maluku,4,2019,11629,152.7138989,7614893,11629
Maluku,4,2021,2436,172.0494508,1415872,2436
North Sulawesi,4,2019,3662,116.0671554,3155070,3662
Bengkulu,2,2020,7962,263.8342318,3017804,7962
East Nusa Tenggara,3,2019,17556,197.653957,8882190,17556
Yogyakarta,4,2018,2048,210.3179004,973764,2048
West Sumatra,3,2018,7773,133.5008692,5822434,7773
North Kalimantan,2,2019,10511,152.4990268,6892503,10511
Maluku,3,2020,18563,243.7723025,7614893,18563
West Papua,3,2019,25035,235.7916794,10617423,25035
North Sumatra,4,2020,3271,183.0375504,1787065,3271
West Sulawesi,4,2021,22533,214.843817,10488084,22533
West Sulawesi,4,2018,17600,167.8094874,10488084,17600
East Kalimantan,2,2020,8144,182.2872892,4467673,8144
North Maluku,1,2022,4998,167.9351403,2976149,4998
District of Columbia,1,2021,3294,466.7381746,705749,3294
West Sumatra,3,2021,12144,208.572566,5822434,12144
Central Sumatra,2,2019,9025,213.9773058,4217737,9025
East Papua,4,2019,9198,178.6465514,5148714,9198
East Java,3,2021,16392,284.6457973,5758736,16392
West Sumatra,4,2019,8762,130.1502521,6732219,8762
Puerto Rico,3,2018,811,25.39379164,3193694,811
Gorontalo,3,2020,11357,201.3783878,5639632,11357
Central Java,1,2019,20130,157.2411912,12801989,20130
Puerto Rico,1,2021,2663,83.38306676,3193694,2663
Central Java,1,2021,107438,271.9107958,39512223,107438
Java,4,2019,730,126.1319478,578759,730
West Kalimantan,2,2021,2351,219.9708452,1068778,2351
Riau,4,2019,31706,162.9830138,19453561,31706
Aceh,3,2019,9359,190.8759306,4903185,9359
Riau,1,2020,33837,173.9373064,19453561,33837
Central Papua,1,2018,3357,160.0988922,2096829,3357
Central Kalimantan,4,2019,2332,120.5536784,1934408,2332
Southeast Sulawesi,2,2019,900,118.100627,762062,900
Aceh,4,2020,12498,254.8955424,4903185,12498
Bangka Belitung,3,2020,19005,314.3566977,6045680,19005
Central Java,2,2020,90270,228.4609499,39512223,90270
Bangka Belitung,1,2022,17907,296.194969,6045680,17907
Borneo,2,2018,652,104.4890214,623989,652
District of Columbia,2,2020,2342,331.8460246,705749,2342
Aceh,1,2022,11115,226.6893866,4903185,11115
West Java,4,2020,8054,225.9004675,3565287,8054
District of Columbia,3,2019,2336,330.995864,705749,2336
East Nusa Tenggara,1,2020,15413,173.5270243,8882190,15413
East Nusa Tenggara,1,2021,28992,326.4059877,8882190,28992
South Sulawesi,4,2021,8893,288.7191428,3080156,8893
West Sumatra,3,2018,9636,143.1325986,6732219,9636
Aceh,2,2019,9073,185.0429874,4903185,9073
South West Java,1,2022,5864,148.1941616,3956971,5864
East Kalimantan,1,2021,10558,236.3198918,4467673,10558
Puerto Rico,1,2020,1002,31.37432703,3193694,1002
South East Java,2,2019,22416,191.7683996,11689100,22416
Banten,1,2021,21974,301.893864,7278717,21974
West Java,1,2022,7002,196.3937265,3565287,7002
West Sumatra,4,2021,11837,175.8261281,6732219,11837
West Papua,1,2020,23369,220.1004895,10617423,0
North Maluku,2,2021,7159,240.5457522,2976149,7159
Lampung,2,2021,3089,229.8000613,1344212,3089
West Sumatra,1,2020,8552,146.8801536,5822434,8552
Central Kalimantan,3,2018,2258,116.7282187,1934408,2258
Java,2,2018,695,120.0845257,578759,695
Central Kalimantan,3,2021,3243,167.64819,1934408,3243
Lampung,1,2018,1604,119.3264158,1344212,1604
East Papua,3,2021,16415,318.8174756,5148714,16415
West Papua,2,2021,39779,374.6577677,10617423,39779
Sulawesi,4,2019,14408,168.8005146,8535519,14408
Maluku,3,2020,2990,211.1772816,1415872,2990
Yogyakarta,1,2019,1900,195.1191459,973764,1900
Sumatra,3,2021,81525,281.1606242,28995881,81525
Bali,2,2021,21974,321.7665855,6829174,21974
Central Papua,4,2019,2985,142.3578174,2096829,2985
Central Kalimantan,3,2020,3540,183.0017246,1934408,3540
South East Java,4,2018,18605,159.1653763,11689100,18605
Southeast Sulawesi,4,2019,673,88.3130244,762062,673
West Java,3,2019,6249,175.2734072,3565287,6249
West Sumatra,2,2019,9564,164.2612007,5822434,9564
Maluku,2,2019,2146,151.5673733,1415872,2146
Sulawesi,3,2018,15348,179.8133189,8535519,15348
Central Kalimantan,1,2022,2709,140.0428452,1934408,2709
East Nusa Tenggara,2,2018,15068,169.6428471,8882190,15068
Central Java,1,2018,21026,164.2401036,12801989,21026
Java,1,2019,746,128.8964837,578759,746
South West Java,2,2021,8264,208.8466153,3956971,8264
Aceh,2,2021,17554,358.01219,4903185,0
West Kalimantan,1,2020,1604,150.0779395,1068778,1604
West Kalimantan,1,2021,2577,241.11649,1068778,2577
Maluku,3,2019,16154,212.1369269,7614893,16154
Central Papua,3,2019,1785,168.497802,1059361,1785
Riau Islands,2,2018,21019,210.4666163,9986857,21019
West Nusa Tenggara,4,2020,2849,209.5298192,1359711,2849
Maluku,3,2020,18563,243.7723025,7614893,18563
Papua,2,2021,15181,247.3511706,6137428,15181
South Kalimantan,1,2022,9836,211.5817565,4648794,9836
Sulawesi,4,2020,22348,261.8235634,8535519,22348
Aceh,4,2021,11887,242.4342545,4903185,11887
North Sulawesi,1,2019,3725,118.0639415,3155070,3725
West Java,1,2022,7002,196.3937265,3565287,7002
Central Papua,3,2018,3934,187.6166345,2096829,3934
South Kalimantan,4,2019,6215,133.6905873,4648794,6215
West Papua,2,2018,26339,248.073379,10617423,26339
Central Sumatra,2,2018,6656,157.8097449,4217737,6656
Central Kalimantan,3,2020,3540,183.0017246,1934408,3540
Bangka Belitung,3,2020,19005,314.3566977,6045680,19005
Yogyakarta,3,2020,3183,326.8759165,973764,3183
Central Papua,2,2020,4366,208.2191729,2096829,4366
North Sulawesi,2,2018,3543,112.2954483,3155070,3543
Riau,2,2019,39284,201.9373214,19453561,39284
Sumatra,2,2020,63827,220.1243687,28995881,63827
Bali,2,2019,13106,191.9119355,6829174,13106
West Sumatra,1,2018,7761,133.2947699,5822434,7761
West Kalimantan,2,2019,1733,162.1477987,1068778,1733
Maluku,1,2019,11478,150.7309426,7614893,11478
West Papua,4,2021,32438,305.5166965,10617423,32438
Maluku,4,2018,1631,115.1940288,1415872,1631
North Sulawesi,1,2021,6220,197.1430111,3155070,6220
South Sumatra,2,2018,19834,156.520519,12671821,19834
Central Papua,3,2018,1744,164.6275443,1059361,1744
Riau Islands,1,2021,26451,264.858103,9986857,26451
North Sumatra,4,2021,2933,164.1238567,1787065,2933
West Kalimantan,4,2019,2526,140.9482593,1792147,2526
West Kalimantan,1,2020,2646,147.6441386,1792147,2646
East Papua,2,2019,10049,195.1749505,5148714,10049
Maluku,2,2020,18941,248.7362593,7614893,18941
South Kalimantan,4,2021,14239,306.2944927,4648794,14239
Riau Islands,2,2021,23109,231.3941213,9986857,23109
Sumatra,1,2018,54509,187.9887699,28995881,54509
South West Java,2,2020,6401,161.7651481,3956971,6401
West Papua,3,2019,25035,235.7916794,10617423,25035
Maluku,1,2019,11478,150.7309426,7614893,11478
Aceh,4,2019,7572,154.4302326,4903185,7572
West Java,2,2019,6274,175.974613,3565287,6274
Maluku,1,2020,2009,141.8913574,1415872,2009
Bangka Belitung,4,2018,10914,180.5255984,6045680,10914
Jakarta,2,2020,66679,310.4563577,21477737,66679
West Nusa Tenggara,3,2021,3025,222.4737463,1359711,3025
Central Sulawesi,3,2020,5352,183.7083129,2913314,5352
Yogyakarta,4,2019,2089,214.5283662,973764,2089
East Nusa Tenggara,2,2018,15068,169.6428471,8882190,15068
Maluku,2,2020,18941,248.7362593,7614893,18941
Central Java,1,2022,33937,265.0916197,12801989,33937
Bali,4,2021,1378,188.3684531,731545,1378
Central Sulawesi,3,2020,5352,183.7083129,2913314,5352
West Papua,3,2019,937,105.916517,884659,937
Java,4,2020,5880,183.4085163,3205958,5880
East Papua,3,2021,16415,318.8174756,5148714,16415
South East Java,1,2018,19523,167.0188466,11689100,19523
Bali,2,2021,2810,384.1185436,731545,2810
East Kalimantan,4,2019,6056,135.55155,4467673,6056
Papua,4,2018,10056,163.847136,6137428,10056
Central Java,2,2021,38158,298.0630588,12801989,38158
West Sulawesi,2,2018,17703,168.7915543,10488084,17703
Sumatra,2,2021,86304,297.6422755,28995881,86304
Southeast Sulawesi,2,2020,859,112.7204873,762062,859
Puerto Rico,1,2020,1002,31.37432703,3193694,1002
Southeast Sulawesi,3,2020,997,130.8292501,762062,997
Sulawesi,1,2021,28022,328.2987244,8535519,28022
Puerto Rico,3,2021,1925,60.27502948,3193694,1925
Southeast Sulawesi,4,2018,737,96.71129121,762062,737
Central Sumatra,1,2020,7018,166.3925465,4217737,0
Bengkulu,3,2019,4564,151.2357993,3017804,4564
Central Sulawesi,1,2020,4070,139.7034443,2913314,4070
Central Java,3,2021,40852,319.1066638,12801989,40852
Central Papua,2,2018,1676,158.2085805,1059361,1676
Central Papua,1,2018,1538,145.1818596,1059361,1538
Maluku,1,2018,11335,148.8530436,7614893,11335
South West Java,4,2021,6105,154.2846789,3956971,6105
North Kalimantan,3,2020,15198,220.5004481,6892503,15198
Bangka Belitung,3,2018,12271,202.9713779,6045680,12271
Sulawesi,2,2018,15092,176.8140871,8535519,15092
Central Java,2,2019,23944,187.0334368,12801989,0
Central Papua,4,2020,2585,244.0150242,1059361,2585
West Java,2,2019,6274,175.974613,3565287,6274
Puerto Rico,3,2021,1925,60.27502948,3193694,1925
North Kalimantan,3,2019,10502,152.3684502,6892503,10502
Papua,2,2020,12842,209.2407438,6137428,12842
Maluku,1,2019,11478,150.7309426,7614893,11478
Bali,2,2018,12486,182.8332387,6829174,12486
East Java,1,2018,10464,181.7065412,5758736,10464
Aceh,3,2020,12293,250.7145865,4903185,12293
West Kalimantan,4,2021,3047,170.0195352,1792147,3047
Central Papua,1,2020,1592,150.2792721,1059361,1592
Bangka Belitung,1,2019,11833,195.7265353,6045680,11833
North Kalimantan,2,2021,17964,260.6310073,6892503,17964
Borneo,2,2020,1189,190.5482308,623989,1189
Sumatra,1,2018,54509,187.9887699,28995881,54509
Sulawesi,3,2018,15348,179.8133189,8535519,15348
Papua,3,2018,11096,180.7923449,6137428,11096
Puerto Rico,1,2018,709,22.19999787,3193694,709
Central Kalimantan,2,2020,3075,158.9633624,1934408,3075
East Papua,4,2019,9198,178.6465514,5148714,9198
Bengkulu,4,2021,5124,169.7923391,3017804,5124
Gorontalo,2,2019,9078,160.9679497,5639632,9078
Maluku,2,2021,20561,270.01036,7614893,20561
Sulawesi,3,2018,15348,179.8133189,8535519,15348
West Sumatra,4,2019,8130,139.6323256,5822434,8130
West Papua,3,2020,33623,316.6775968,10617423,33623
West Sumatra,4,2021,9738,167.2496416,5822434,9738
Maluku,2,2019,15513,203.7192118,7614893,15513
Gorontalo,3,2021,11347,201.2010713,5639632,11347
West Sumatra,2,2018,9613,142.7909579,6732219,9613
West Sumatra,4,2018,7909,135.8366621,5822434,7909
North Maluku,3,2021,7614,255.8339653,2976149,7614
East Papua,1,2019,8407,163.2834918,5148714,8407
Bali,1,2022,1304,178.2528758,731545,1304
Yogyakarta,1,2018,2000,205.3885746,973764,2000
West Sumatra,4,2020,13998,207.9254998,6732219,13998
Central Kalimantan,3,2021,3243,167.64819,1934408,3243
West Sumatra,3,2021,12144,208.572566,5822434,12144
Puerto Rico,1,2019,786,24.61099905,3193694,786
Central Sulawesi,2,2019,4682,160.7104487,2913314,4682
Central Sulawesi,1,2022,4348,149.2458417,2913314,0
Bangka Belitung,4,2019,11778,194.8167948,6045680,11778
Maluku,2,2018,1771,125.0819283,1415872,1771
Maluku,1,2019,1718,121.3386521,1415872,1718
West Papua,2,2019,25092,236.3285328,10617423,25092
South Kalimantan,4,2021,14239,306.2944927,4648794,14239
Banten,3,2019,17195,236.2366884,7278717,17195
